internalId	masterId	rowNr	rowId	PayMode	Comment	CreditCard	Plan	AuthorizationCode	ChequeNr	BatchNr	Paid	Installments
Taxes
internalId	masterId	rowNr	rowId	TaxCode	Amount

\N	\N	\N	\N	\N	2018-11-22	15:13:12	1	\N	CJ01	\N	0	Arturo	\N	\N	\N	\N	False	\N	1	\N	GS	\N	\N	\N	\N	\N	3900.0	1.0	CXXXX	Cliente Mostrador	Arturo	SALON	\N	1	2018-11-22	2018-11-22	\N	CONT	AYOLAS	AYOLAS	8	Misiones	py		1	Asunción	\N	\N	\N	\N	True	CC	\N	\N			\N		\N				\N	\N	\N	\N	\N	\N	\N	L1G	DIPLO	\N	\N	\N	\N	es	\N	\N	\N	\N	0	\N	\N	100.0	1654641.0	0.0	165459.0	1820100.0	1654641.0	1820100.0	True	\N	\N	\N	CXXXX	CONT	1	\N	\N	0	\N	0	\N	0.0	\N	\N	\N	\N	False	\N	\N	\N	\N	\N

\N	\N	56	\N	7757174006422	MANI WEREP SAPITO 300G	\N	\N	1.0	\N	13182.0	\N	14500.0	0.0	14500.0	\N	10	UNI	13182.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	13182.0	\N	\N	\N	\N	\N
\N	\N	57	\N	7757174006422	MANI WEREP SAPITO 300G	\N	\N	1.0	\N	13182.0	\N	14500.0	0.0	14500.0	\N	10	UNI	13182.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	13182.0	\N	\N	\N	\N	\N
\N	\N	58	\N	7896704100015	GELADINHO SABOR DE VERANO 55ML	\N	\N	1.0	\N	10909.0	\N	12000.0	0.0	12000.0	\N	10	UNI	10909.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	10909.0	\N	\N	\N	\N	\N
\N	\N	59	\N	7896704100053	GELADINHO SABOR DE VERANO 100ML	\N	\N	1.0	\N	10909.0	\N	12000.0	0.0	12000.0	\N	10	UNI	10909.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	10909.0	\N	\N	\N	\N	\N
\N	\N	60	\N	7896704100053	GELADINHO SABOR DE VERANO 100ML	\N	\N	1.0	\N	10909.0	\N	12000.0	0.0	12000.0	\N	10	UNI	10909.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	10909.0	\N	\N	\N	\N	\N
\N	\N	61	\N	6920552105555	MINI CHICLE CON TATUAJE ZIC ZAC BEN 10 24PZAS	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	62	\N	6920552105555	MINI CHICLE CON TATUAJE ZIC ZAC BEN 10 24PZAS	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	63	\N	6920552105616	MINI CHICLE PRINCESA C/TATUAJE 	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	64	\N	6920552105616	MINI CHICLE PRINCESA C/TATUAJE 	\N	\N	1.0	\N	22727.0	\N	25000.0	0.0	25000.0	\N	10	UNI	22727.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	22727.0	\N	\N	\N	\N	\N
\N	\N	65	\N	7896383074027	PASTILLAS SABOR CHOCOLATE FORMATO BOLA COLORETI FESTA 324G	\N	\N	1.0	\N	17273.0	\N	19000.0	0.0	19000.0	\N	10	UNI	17273.0	\N	\N	\N	0.0	\N	\N	\N	0.0	100.0	17273.0	\N	\N	\N	\N	\N
